,Apparaat-ID,Apparaat,Datum,Uur,Meetwaarde,Eenheid,Kost (EUR),Meettype,Type apparaat
195,5653a456,wasmachine,2018-01-23,00:45,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
196,5653a456,wasmachine,2018-01-23,01:00,0.0002,kWh,0.0,electriciteit,WASHINGMACHINE
197,5653a456,wasmachine,2018-01-23,01:15,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
198,5653a456,wasmachine,2018-01-23,01:30,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
199,5653a456,wasmachine,2018-01-23,01:45,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
200,5653a456,wasmachine,2018-01-23,02:00,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
201,5653a456,wasmachine,2018-01-23,02:15,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
202,5653a456,wasmachine,2018-01-23,02:30,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
203,5653a456,wasmachine,2018-01-23,02:45,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
204,5653a456,wasmachine,2018-01-23,03:00,0.0002,kWh,0.0,electriciteit,WASHINGMACHINE
205,5653a456,wasmachine,2018-01-23,03:15,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
206,5653a456,wasmachine,2018-01-23,03:30,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
207,5653a456,wasmachine,2018-01-23,03:45,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
208,5653a456,wasmachine,2018-01-23,04:00,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
209,5653a456,wasmachine,2018-01-23,04:15,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
210,5653a456,wasmachine,2018-01-23,04:30,0.0002,kWh,0.0,electriciteit,WASHINGMACHINE
211,5653a456,wasmachine,2018-01-23,04:45,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
212,5653a456,wasmachine,2018-01-23,05:00,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
213,5653a456,wasmachine,2018-01-23,05:15,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
214,5653a456,wasmachine,2018-01-23,05:30,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
215,5653a456,wasmachine,2018-01-23,05:45,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
216,5653a456,wasmachine,2018-01-23,06:00,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
217,5653a456,wasmachine,2018-01-23,06:15,0.0002,kWh,0.0,electriciteit,WASHINGMACHINE
218,5653a456,wasmachine,2018-01-23,06:30,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
219,5653a456,wasmachine,2018-01-23,06:45,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
220,5653a456,wasmachine,2018-01-23,07:00,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
221,5653a456,wasmachine,2018-01-23,07:15,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
222,5653a456,wasmachine,2018-01-23,07:30,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
223,5653a456,wasmachine,2018-01-23,07:45,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
224,5653a456,wasmachine,2018-01-23,08:00,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
225,5653a456,wasmachine,2018-01-23,08:15,0.0002,kWh,0.0,electriciteit,WASHINGMACHINE
226,5653a456,wasmachine,2018-01-23,08:30,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
227,5653a456,wasmachine,2018-01-23,08:45,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
228,5653a456,wasmachine,2018-01-23,09:00,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
229,5653a456,wasmachine,2018-01-23,09:15,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
230,5653a456,wasmachine,2018-01-23,09:30,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
231,5653a456,wasmachine,2018-01-23,09:45,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
232,5653a456,wasmachine,2018-01-23,10:00,0.0002,kWh,0.0,electriciteit,WASHINGMACHINE
233,5653a456,wasmachine,2018-01-23,10:15,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
234,5653a456,wasmachine,2018-01-23,10:30,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
235,5653a456,wasmachine,2018-01-23,10:45,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
236,5653a456,wasmachine,2018-01-23,11:00,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
237,5653a456,wasmachine,2018-01-23,11:15,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
238,5653a456,wasmachine,2018-01-23,11:30,0.0002,kWh,0.0,electriciteit,WASHINGMACHINE
239,5653a456,wasmachine,2018-01-23,11:45,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
240,5653a456,wasmachine,2018-01-23,12:00,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
241,5653a456,wasmachine,2018-01-23,12:15,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
242,5653a456,wasmachine,2018-01-23,12:30,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
243,5653a456,wasmachine,2018-01-23,12:45,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
244,5653a456,wasmachine,2018-01-23,13:00,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
245,5653a456,wasmachine,2018-01-23,13:15,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
246,5653a456,wasmachine,2018-01-23,13:30,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
247,5653a456,wasmachine,2018-01-23,13:45,0.0002,kWh,0.0,electriciteit,WASHINGMACHINE
248,5653a456,wasmachine,2018-01-23,14:00,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
249,5653a456,wasmachine,2018-01-23,14:15,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
250,5653a456,wasmachine,2018-01-23,14:30,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
251,5653a456,wasmachine,2018-01-23,14:45,0.0473,kWh,0.0099,electriciteit,WASHINGMACHINE
252,5653a456,wasmachine,2018-01-23,15:00,0.5158,kWh,0.1083,electriciteit,WASHINGMACHINE
